lat,long,age
44.62,-122.72,9.8749847
44.61,-121.11,9.8749847
44.16,-122.24,9.8749847
44.47,-122.91,9.8749847
45.05,-122.62,9.831625
45.05,-122.62,9.831625
44.44,-122.99,9.8749847
44.3,-122.12,9.8749847
46.85,-122.26,9.7773581
46.31,-119.76,9.5389538
46.31,-119.76,9.5389538
46.63,-123.23,9.7773581
46.52,-122.46,9.6252508
46.89,-120.39,9.7773581
46.61,-119.12,9.7773581
46.37,-119.29,9.543684
46.36,-119.27,9.543684
46.36,-119.27,9.543684
46.43,-119.28,9.543684
46.44,-119.4,9.543684
45.86,-120.67,9.5405912
47.07,-122.22,9.7773581
46.55,-122.31,9.6252508
46.78,-122.26,9.7773581
45.71,-121.46,9.5560369
45.71,-121.31,9.5560369
46.6,-120.35,9.7773581
46.52,-120.01,9.6252508
46.42,-120.12,9.543684
46.42,-120.12,9.543684
46.48,-120.26,9.6252508
48.43,-119.52,9.7773581
46.78,-120.67,9.7773581
46.55,-120.67,9.6252508
46.55,-120.67,9.6252508
46.53,-120.2,9.6252508
46.27,-119.45,9.5389538
45.73,-121.8,9.5560369
46.53,-120.33,9.6252508
46.14,-119.63,9.5399418
46.25,-119.4,9.546627
45.82,-121.13,9.544672
45.96,-119.88,9.5455904
47.71,-121.14,9.7773581
47.71,-121.14,9.7773581
47.43,-121.41,9.7773581
46.65,-121.28,9.7773581
45.81,-121.95,9.544672
46.67,-121.03,9.7773581
46.75,-120.64,9.7773581
47.01,-121.7,9.7773581
46.04,-119.64,9.5455904
46.04,-119.64,9.5455904
45.92,-120.19,9.5405912
45.92,-120.19,9.5405912
45.88,-122.45,9.5405912
45.84,-122.53,9.544672
45.94,-122.71,9.5405912
47,-119.53,9.7773581
45.99,-120.38,9.5455904
45.99,-120.38,9.5455904
45.99,-120.38,9.5455904
47.45,-120.36,9.7773581
46.46,-120.23,9.6252508
46.6,-120.38,9.7773581
45.83,-120.82,9.544672
45.83,-120.82,9.544672
45.76,-120.53,9.544672
46.54,-122.48,9.6252508
45.9,-122.66,9.5405912
45.61,-122.13,9.5370016
45.61,-122.13,9.5370016
45.88,-120.93,9.5405912
45.89,-122.5,9.5405912
45.7,-121.41,9.5560369
45.74,-121.18,9.5560369
45.7,-120.92,9.5560369
45.61,-122.18,9.5370016
45.61,-122.18,9.5370016
46.33,-120.78,9.5389538
46.53,-122.55,9.6252508
45.7,-121.24,9.5560369
47.11,-120.68,9.7773581
46.53,-122.56,9.6252508
46.28,-120,9.5389538
46.73,-120.76,9.7773581
45.7,-121.42,9.5560369
46.67,-120.6,9.7773581
45.88,-120.69,9.5405912
45.88,-120.69,9.5405912
46.68,-120.75,9.7773581
46.3,-122.87,9.5389538
46.57,-123.03,9.7773581
47.16,-119.32,9.7773581
47.16,-119.32,9.7773581
46.51,-122.49,9.6252508
45.71,-121.87,9.5560369
45.82,-120.82,9.544672
45.74,-121.12,9.5560369
45.73,-121.11,9.5560369
45.61,-122.13,9.5370016
45.61,-122.13,9.5370016
46.82,-120.66,9.7773581
46.55,-122.58,9.6252508
45.73,-122.41,9.5560369
45.94,-120.97,9.5405912
46.44,-120.2,9.543684
45.74,-120.23,9.5560369
48.69,-119.5,9.57864
45.6,-122.4,9.5370016
45.64,-122.44,9.5370016
46.55,-121.79,9.6252508
46.73,-121.85,9.7773581
45.64,-121.98,9.5370016
45.65,-121.95,9.5370016
45.65,-121.96,9.5370016
46.71,-121.58,9.7773581
46.62,-121.69,9.7773581
46.52,-121.94,9.6252508
46.27,-122.24,9.5389538
46.17,-122.27,9.546627
46.53,-122.84,9.6252508
46.54,-122.85,9.6252508
47.57,-120.16,9.7773581
46.62,-122.23,9.7773581
46.43,-120.18,9.543684
46.73,-120.78,9.7773581
45.71,-121.88,9.5560369
46.41,-120.08,9.543684
46.41,-120.08,9.543684
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.77,-122.19,9.544672
45.77,-122.22,9.544672
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.77,-122.2,9.544672
45.78,-122.2,9.544672
46.53,-122.82,9.6252508
46.54,-122.82,9.6252508
46.54,-122.82,9.6252508
46.53,-122.83,9.6252508
46.53,-122.83,9.6252508
46.54,-122.62,9.6252508
45.76,-121.54,9.544672
45.76,-121.54,9.544672
46.63,-120.41,9.7773581
45.71,-121.89,9.5560369
47.12,-120.68,9.7773581
45.91,-121.05,9.5405912
45.67,-122.38,9.5560369
45.77,-121.12,9.544672
46.62,-120.41,9.7773581
47.24,-120.01,9.7773581
47.24,-120.01,9.7773581
45.82,-122.46,9.544672
46.83,-120.21,9.7773581
46.83,-120.21,9.7773581
39.51,-119.75,16.215477
43.33,-119.57,9.4671307
43.31,-119.54,9.4671307
43.35,-119.67,9.4671307
43.49,-119.54,9.5357075
43.15,-119.72,9.2272873
43.11,-119.73,8.97577
40.42,-119.41,16.524179
40.42,-119.4,16.524179
40.37,-119.4,16.524179
40.36,-119.4,16.524179
40.36,-119.41,16.524179
40.35,-119.36,16.524179
40.35,-119.4,16.524179
40.4,-119.4,16.524179
40.4,-119.4,16.524179
40.4,-119.41,16.524179
40.4,-119.4,16.524179
40.41,-119.4,16.524179
39.86,-119.01,16.215477
44.79,-122.57,9.8749847
44.4,-122.51,9.8749847
44.75,-122.39,9.8749847
44.4,-122.49,9.8749847
44.12,-122.41,9.8749847
44.75,-122.62,9.8749847
44.59,-122.37,9.8749847
44.12,-122.45,9.8749847
44.11,-122.43,9.8749847
39.91,-119.22,16.215477
39.95,-119.2,16.215477
39.95,-119,16.215477
39.95,-119.02,16.215477
39.96,-119.1,16.215477
39.96,-119.07,16.215477
39.96,-119.06,16.215477
39.96,-119.04,16.215477
39.96,-119.25,16.215477
39.97,-119.01,16.215477
39.97,-119.05,16.215477
39.98,-119.02,16.215477
39.98,-119.02,16.215477
39.98,-119.11,16.215477
39.99,-119.03,16.215477
39.99,-119.05,16.215477
39.99,-119.29,16.215477
39.99,-119.03,16.215477
39.99,-119.02,16.215477
39.99,-119.01,16.215477
40,-119.17,16.215477
40,-119.05,16.215477
44.31,-122.12,9.8749847
46.74,-121.51,9.7773581
46.71,-121.48,9.7773581
46.71,-121.55,9.7773581
44.16,-122.25,9.8749847
46.68,-121.45,9.7773581
46.66,-121.51,9.7773581
46.67,-121.57,9.7773581
38.76,-119.15,16.215477
40.41,-119.4,16.524179
40.39,-119.4,16.524179
45.45,-121.16,9.5407829
40.39,-119.4,16.524179
40.4,-119.4,16.524179
40.41,-119.41,16.524179
40.41,-119.4,16.524179
40.41,-119.39,16.524179
40.46,-119.42,16.524179
40.45,-119.42,16.524179
43.55,-119.95,9.5357075
43.55,-119.95,9.5357075
43.74,-121.29,9.5827484
43.74,-121.29,9.5827484
38.94,-122.97,17.939177
38.78,-122.7,17.580811
38.78,-122.7,17.580811
38.79,-122.7,17.580811
38.79,-122.7,17.580811
38.78,-122.69,17.580811
38.78,-122.69,17.580811
38.86,-122.89,17.834578
38.87,-122.87,17.834578
38.89,-122.92,17.834578
38.88,-122.95,17.834578
38.87,-122.9,17.834578
38.87,-122.9,17.834578
38.85,-122.92,17.834578
38.85,-122.92,17.834578
38.86,-122.9,17.834578
38.87,-122.92,17.834578
38.92,-122.95,17.834578
38.9,-122.91,17.834578
38.92,-122.8,17.834578
38.9,-122.8,17.834578
38.8,-122.68,17.580811
40.44,-119.41,16.524179
40.44,-119.41,16.524179
40.44,-119.41,16.524179
40.44,-119.41,16.524179
40.44,-119.42,16.524179
40.36,-119.39,16.524179
40.43,-119.41,16.524179
40.43,-119.4,16.524179
40.44,-119.39,16.524179
40.45,-119.4,16.524179
40.44,-119.4,16.524179
40.45,-119.4,16.524179
40.46,-119.41,16.524179
40.34,-119.39,16.524179
39.72,-119.02,16.215477
40.34,-119.43,16.524179
40.38,-119.4,16.524179
40.41,-119.43,16.524179
40.42,-119.43,16.524179
40.42,-119.41,16.524179
40.44,-119.43,16.524179
40.35,-119.42,16.524179
40.39,-119.41,16.524179
40.36,-119.42,16.524179
40.36,-119.43,16.524179
40.38,-119.44,16.524179
40.39,-119.44,16.524179
40.39,-119.44,16.524179
40.34,-119.42,16.524179
40.34,-119.4,16.524179
40.37,-119.39,16.524179
39.54,-119.74,16.215477
40.36,-119.39,16.524179
40.33,-119.41,16.524179
40.39,-119.4,16.524179
40.38,-119.39,16.524179
40.38,-119.39,16.524179
40.38,-119.39,16.524179
40.38,-119.4,16.524179
40.38,-119.39,16.524179
40.37,-119.38,16.524179
40.39,-119.39,16.524179
40.4,-119.39,16.524179
40.38,-119.4,16.524179
40.41,-119.39,16.524179
40.41,-119.39,16.524179
40.38,-119.39,16.524179
40.38,-119.39,16.524179
45.66,-121.33,9.5560369
43.75,-121.27,9.5827484
45.03,-121.97,9.831625
43.74,-121.29,9.5827484
43.74,-121.29,9.5827484
43.74,-121.29,9.5827484
40.37,-119.4,16.524179
41.74,-121.31,8.7112598
41.72,-121.3,17.755274
41.72,-121.3,17.755274
38.78,-122.72,17.580811
38.78,-122.7,17.580811
38.77,-122.73,17.580811
38.77,-122.72,17.580811
38.78,-122.69,17.580811
42.23,-121.76,8.7200031
38.76,-122.67,17.580811
38.76,-122.67,17.580811
38.76,-122.68,17.580811
38.77,-122.69,17.580811
38.77,-122.66,17.580811
43.8,-122.42,9.5827484
38.77,-122.85,17.725136
38.82,-122.87,17.725136
38.8,-122.89,17.725136
38.8,-122.87,17.725136
38.79,-122.84,17.725136
38.78,-122.86,17.725136
38.78,-122.8,17.725136
38.78,-122.79,17.725136
38.77,-122.79,17.725136
38.77,-122.77,17.725136
38.82,-122.89,17.834578
42.23,-121.76,8.7200031
40.68,-119.36,16.676729
39.79,-119.02,16.215477
40.88,-119.34,16.815744
40.87,-119.33,16.815744
40.7,-119.35,16.676729
39.76,-119.01,16.215477
39.8,-119.01,16.215477
39.81,-119,16.215477
40.65,-119.39,16.676729
39.78,-119.02,16.215477
39.78,-119.01,16.215477
40.65,-119.35,16.676729
40.65,-119.37,16.676729
40.66,-119.38,16.676729
39.81,-119.02,16.215477
40.65,-119.39,16.676729
40.64,-119.41,16.676729
39.78,-119.02,16.215477
40.78,-119.34,16.815744
38.78,-122.67,17.580811
38.78,-122.66,17.580811
38.77,-122.64,17.580811
45.02,-122.01,9.831625
45.02,-122.01,9.831625
38.74,-122.69,17.580811
38.74,-122.69,17.580811
38.68,-122.55,17.50819
38.68,-122.55,17.50819
38.69,-122.61,17.50819
38.69,-122.52,17.50819
38.69,-122.54,17.50819
38.67,-122.58,17.50819
38.67,-122.56,17.50819
38.68,-122.55,17.50819
38.68,-122.53,17.50819
38.68,-122.53,17.50819
38.69,-122.51,17.50819
38.69,-122.51,17.50819
38.68,-122.47,17.50819
38.68,-122.5,17.50819
38.67,-122.55,17.50819
38.67,-122.5,17.50819
38.67,-122.52,17.50819
38.67,-122.54,17.50819
38.66,-122.54,17.50819
38.66,-122.55,17.50819
38.65,-122.53,17.50819
38.65,-122.52,17.50819
38.65,-122.5,17.50819
38.66,-122.49,17.50819
38.66,-122.51,17.50819
38.67,-122.47,17.50819
38.64,-122.47,17.50819
38.6,-122.47,17.370102
38.56,-122.52,17.370102
38.55,-122.5,17.370102
38.65,-122.51,17.50819
38.66,-122.56,17.50819
38.66,-122.57,17.50819
38.66,-122.58,17.50819
38.67,-122.6,17.50819
38.74,-122.56,17.580811
38.67,-122.57,17.50819
38.62,-122.59,17.50819
46.85,-122.26,9.7773581
46.31,-119.76,9.5389538
38.9,-122.86,17.834578
38.86,-122.85,17.834578
38.86,-122.86,17.834578
38.86,-122.88,17.834578
38.85,-122.9,17.834578
38.85,-122.9,17.834578
38.84,-122.88,17.834578
38.85,-122.87,17.834578
38.84,-122.86,17.834578
38.87,-122.9,17.834578
38.85,-122.84,17.725136
38.84,-122.83,17.725136
38.9,-122.86,17.834578
38.83,-122.84,17.725136
38.83,-122.85,17.725136
38.83,-122.88,17.834578
38.82,-122.86,17.725136
38.84,-122.88,17.834578
38.85,-122.81,17.725136
38.86,-122.9,17.834578
38.87,-122.86,17.834578
38.88,-122.85,17.834578
38.87,-122.89,17.834578
