47.27	-126.14	7.1277666	159	-14.81813812
47.27	-126.14	7.1277666	142	-14.81813812
47.27	-126.15	6.8401093	137	-14.81813812
47.27	-126.15	6.8401093	141	-14.81813812
47.27	-126.15	6.8401093	156	-14.81813812
47.25	-126.17	6.8040028	138	-25.05021858
47.44	-126.38	6.4628758	106	-26.69879341
47.44	-126.38	6.4628758	108	-26.69879341
47.44	-126.38	6.4628758	112	-26.69879341
47.45	-126.36	6.5422029	109	-26.69879341
47.45	-126.36	6.5422029	118	-26.69879341
47.46	-126.33	6.8071642	102	-26.69879341
47.46	-126.29	6.8071642	124	-24.73423767
47.46	-126.29	6.8071642	108	-24.73423767
47.46	-126.26	6.8071642	114	-24.73423767
47.46	-126.22	7.0861001	122	-24.73423767
47.46	-126.22	7.0861001	117	-24.73423767
47.46	-126.22	7.0861001	89	-24.73423767
47.46	-126.19	7.0861001	118	-24.73423767
47.46	-126.18	7.0861001	139	-24.73423767
47.46	-126.16	7.0861001	57	-6.165018082
44.95	-125.2	9.2965679	71	-23.75463867
44.95	-125.22	9.2965679	61	-23.75463867
44.95	-125.23	9.2965679	55	-23.75463867
44.95	-125.25	9.0883245	28	-38.20376205
44.95	-125.41	8.9141588	89	-63.85134125
44.95	-125.37	8.9141588	95	-63.85134125
44.95	-125.37	8.9141588	99	-63.85134125
44.95	-125.37	8.9141588	102	-63.85134125
44.95	-125.37	8.9141588	104	-63.85134125
44.95	-125.38	8.9141588	113	-63.85134125
44.95	-125.4	8.9141588	110	-63.85134125
44.95	-125.42	8.9141588	125	-63.85134125
44.93	-125.27	9.1318445	125	-38.20376205
44.93	-125.27	9.1318445	202	-38.20376205
44.95	-125.47	8.6826057	122	-63.85134125
44.95	-125.52	8.6826057	152	-59.42253876
44.95	-125.52	8.6826057	139	-59.42253876
44.95	-125.58	8.4492979	165	-59.42253876
44.95	-125.64	8.4492979	113	-50.7746315
44.65	-125.27	9.1559649	65	-66.54668427
44.65	-125.3	9.1559649	70	-66.54668427
44.65	-125.3	9.1559649	73	-66.54668427
44.65	-125.32	9.1559649	62	-66.54668427
44.65	-125.32	9.1559649	52	-66.54668427
44.65	-125.34	9.1559649	105	-66.54668427
44.65	-125.37	8.9884195	32	-77.86420441
44.65	-125.4	8.9884195	101	-77.86420441
44.65	-125.47	8.7853642	94	-77.86420441
40.75	-127.4	0.14659698	225	-1.254135013
40.74	-127.55	0.22720698	1656	-34.42725754
40.74	-127.57	0.22720698	576	-34.42725754
40.75	-127.4	0.14659698	240	-1.254135013
40.75	-127.42	0.14659698	316	-1.254135013
40.75	-127.43	0.14659698	371	-1.254135013
40.74	-127.58	0.22720698	832	2.126747847
40.75	-127.6	0.22720698	907	2.126747847
40.75	-127.62	0.22720698	341	2.126747847
40.76	-127.66	0.53983307	329	2.126747847
40.75	-127.66	0.52487373	386	2.126747847
40.76	-127.67	0.53983307	302	2.126747847
40.76	-127.69	0.53983307	313	2.126747847
40.98	-127.54	0.021391379	352	-37.00662231
41	-127.54	0.021391379	302	-37.00662231
41	-127.53	0.021391379	472	-37.00662231
41	-127.52	0.021391379	192	-37.00662231
41.01	-127.51	0.021391379	1586	-37.00662231
41.02	-127.47	0.021391379	463	-37.00662231
41	-127.47	0.021391379	235	-37.00662231
41.01	-127.47	0.021391379	274	-37.00662231
41.01	-127.47	0.021391379	1804	-37.00662231
41.02	-127.47	0.021391379	280	-37.00662231
40.94	-127.51	0.047450688	176	-44.38734818
40.93	-127.52	0.047450688	299	-44.38734818
40.91	-127.52	0.047450688	219	-44.38734818
40.91	-127.49	0.047450688	511	-44.38734818
40.91	-127.48	0.047450688	213	-44.38734818
50.15	-123.38	8.4487114	58	-26.86304855
50.12	-123.45	8.4487114	71	-26.86304855
50.2	-123.53	8.1750021	63	0.306185842
50.18	-123.52	8.1750021	56	0.306185842
50.17	-123.52	8.1750021	39	46.3521843
50.45	-123.12	8.4487114	53	-41.64958572
50.45	-123.17	8.1750021	56	-13.4604969
50.45	-123.2	8.1750021	69	-13.4604969
51.97	-121.17	8.9942894	63	-4.029141426
51.83	-121.15	8.9942894	63	-22.07441711
52	-120.95	8.9942894	58	2.014045954
52	-120.82	8.9942894	61	36.96744537
51.78	-120.37	8.9942894	113	10.87361526
51.82	-120.47	8.9942894	100	-20.58522987
51.73	-120.15	8.9942894	92	40.15061188
51.75	-120.07	8.9942894	107	-37.95819473
51.15	-119.82	8.9942894	56	-0.721880555
51.15	-119.8	8.9942894	67	-0.721880555
51.15	-119.82	8.9942894	83	-0.721880555
53.37	-130.15	2.2681541	75	-0.593140662
53.35	-130.13	2.2681541	75	12.8069582
53.35	-130.13	2.2681541	75	12.8069582
53.36	-130.13	2.2681541	117	12.8069582
53.37	-130.16	2.2681541	71	-0.593140662
53.37	-130.16	2.2681541	64	-0.593140662
53.37	-130.12	2.2681541	76	12.8069582
53.37	-130.16	2.2681541	51	-0.593140662
53.37	-130.16	2.2681541	87	-0.593140662
53.37	-130.16	2.2681541	88	-0.593140662
53.37	-130.16	2.2681541	81	-0.593140662
51.38	-120.07	8.9942894	70	23.43625069
51.38	-120.07	8.9942894	72	23.43625069
51.38	-120.07	8.9942894	71	23.43625069
53.53	-132.22	9.16572	66	36.06626892
53.53	-132.22	9.16572	46	36.06626892
53.53	-132.22	9.16572	69	36.06626892
53.53	-132.22	9.16572	59	36.06626892
53.53	-132.22	9.16572	107	36.06626892
53.53	-132.22	9.16572	69	36.06626892
53.53	-132.22	9.16572	76	36.06626892
53.53	-132.22	9.16572	49	36.06626892
53.53	-132.22	9.16572	66	36.06626892
52.14	-128.05	1.3816251	91	15.70848751
52.15	-128.1	1.3816251	74	15.70848751
54.74	-126.62	1.238132	68	-18.32457924
54.74	-126.62	1.238132	69	-18.32457924
54.74	-126.62	1.238132	75	-18.32457924
54.74	-126.62	1.238132	91	-18.32457924
54.74	-126.62	1.238132	74	-18.32457924
54.2	-126.26	4.2815824	60	-27.58060837
54.18	-126.27	4.2815824	66	-27.58060837
54.17	-126.28	4.2815824	119	-27.58060837
52.3	-120.57	8.9942894	46	83.27287292
52.3	-120.57	8.9942894	61	83.27287292
54.23	-126.23	4.2815824	83	-27.58060837
54.23	-126.24	4.2815824	79	-27.58060837
52.72	-131.72	5.7069907	60	86.93848419
52.72	-131.71	5.7069907	48	86.93848419
48.89	-123.87	8.9942894	20	54.14250183
48.89	-123.87	8.9942894	19	54.14250183
48.89	-123.85	8.9942894	25	54.14250183
48.88	-123.82	8.9942894	29	31.76561356
52.92	-123.62	7.2214351	74	-11.51878166
52.92	-123.63	7.2214351	71	-11.51878166
52.9	-123.62	7.2214351	56	-11.51878166
49.05	-123.91	8.9942894	30	10.13718033
49.05	-124	8.9942894	20	44.08930206
49.59	-119.68	9.2849312	61	-64.18450928
51.73	-124.62	7.2214351	67	68.26803589
51.73	-124.63	7.2214351	91.1	68.26803589
51.45	-123.62	7.2806315	101.2	31.48008156
51.45	-123.62	7.2806315	107.7	31.48008156
50.62	-127.5	4.6360407	67.9	-7.656474113
49.77	-125.3	7.2806315	39.4	90.75709534
54.02	-130.58	5.7069907	72.2	28.13957024
54.02	-130.58	5.7069907	132.8	28.13957024
54.02	-130.58	5.7069907	112.4	28.13957024
54.02	-130.58	5.7069907	78.1	28.13957024
54.02	-130.58	5.7069907	62.4	28.13957024
49.15	-124.65	8.1750021	47.9	120.534111
49.15	-124.67	7.9011574	54.4	37.62468338
49.15	-124.67	7.9011574	48.3	37.62468338
49.33	-121.97	9.2849312	143.4	-39.17293549
49.33	-121.97	9.2849312	86.7	-39.17293549
49.33	-121.97	9.2849312	132.4	-39.17293549
49.33	-121.97	9.2849312	99.7	-39.17293549
49.33	-121.97	9.2849312	38.8	-39.17293549
49.33	-121.97	9.2849312	103.3	-39.17293549
49.33	-121.95	9.2849312	95.5	-39.17293549
49.33	-121.97	9.2849312	90.6	-39.17293549
49.3	-121.93	9.2849312	105.1	-39.17293549
49.75	-124.53	7.3612161	41.5	-25.49456787
49.7	-124.52	7.3612161	18.1	0.199091554
49.75	-124.53	7.3612161	36.2	-25.49456787
49.75	-124.53	7.3612161	33.2	-25.49456787
49.75	-124.53	7.3612161	32.8	-25.49456787
49.75	-124.53	7.3612161	34.7	-25.49456787
49.75	-124.53	7.3612161	32.6	-25.49456787
49.75	-124.53	7.3612161	20.7	-25.49456787
49.7	-124.53	7.3612161	26.8	0.199091554
49.7	-124.53	7.3612161	22.5	0.199091554
49.7	-124.53	7.3612161	8	0.199091554
49.7	-124.53	7.3612161	34.9	0.199091554
50.02	-126.78	6.2185445	53	31.4454155
50	-126.8	6.2185445	42.1	31.4454155
50	-126.8	6.2185445	43.6	31.4454155
50	-126.8	6.2185445	39.2	31.4454155
50.02	-126.78	6.2185445	39.3	31.4454155
47.51	-121.35	9.7773581	57	37.97489548
47.51	-121.35	9.7773581	57	37.97489548
47.68	-121.65	9.7773581	60	-14.65313625
47.68	-121.65	9.7773581	60	-14.65313625
47.49	-121.4	9.7773581	56	6.328667641
42.2	-121.83	8.7200031	67	-2.806406498
48.46	-122.63	9.2849312	37	-59.80167007
48.72	-119.59	9.57864	75	-29.2766819
46.35	-122.11	9.543684	69	62.2167778
46.36	-122.07	9.543684	68	51.13022995
49	-119.49	9.57864	70	-79.61054993
48.61	-120.38	9.57864	76	-21.74869537
48.61	-120.39	9.57864	73	-21.74869537
46.85	-124.1	9.7773581	38	-49.75493622
47.24	-124.19	9.8133631	35	-54.26169968
42.16	-120.34	8.7200031	742	52.84307098
