lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
44.95	-125.37	102	8.9141588	2.4378	2.985658855	4059.97779	3.78475926
44.95	-125.37	104	8.9141588	2.4856	2.985658855	4059.97779	3.78475926
44.95	-125.38	113	8.9141588	2.7007	2.985658855	4059.97779	3.78475926
44.95	-125.4	110	8.9141588	2.629	2.985658855	4059.97779	3.78475926
44.95	-125.42	125	8.9141588	2.9875	2.985658855	4059.97779	3.78475926
44.93	-125.27	125	9.1318445	2.9875	3.021894191	4098.072788	3.73937646
44.93	-125.27	202	9.1318445	4.8278	3.021894191	4098.072788	3.73937646
44.95	-125.47	122	8.6826057	2.9158	2.946626155	4019.455998	3.834894352
44.95	-125.52	152	8.6826057	3.6328	2.946626155	4019.455998	3.834894352
44.95	-125.52	139	8.6826057	3.3221	2.946626155	4019.455998	3.834894352
44.95	-125.58	165	8.4492979	3.9435	2.906767603	3978.627133	3.887479683
44.95	-125.64	113	8.4492979	2.7007	2.906767603	3978.627133	3.887479683
44.65	-125.27	65	9.1559649	1.5535	3.025882499	4102.293858	3.73444772
44.65	-125.3	70	9.1559649	1.673	3.025882499	4102.293858	3.73444772
44.65	-125.3	73	9.1559649	1.7447	3.025882499	4102.293858	3.73444772
44.65	-125.32	62	9.1559649	1.4818	3.025882499	4102.293858	3.73444772
44.65	-125.32	52	9.1559649	1.2428	3.025882499	4102.293858	3.73444772
44.65	-125.34	105	9.1559649	2.5095	3.025882499	4102.293858	3.73444772
44.65	-125.37	32	8.9884195	0.7648	2.998069295	4072.973413	3.769092335
44.65	-125.4	101	8.9884195	2.4139	2.998069295	4072.973413	3.769092335
44.65	-125.47	94	8.7853642	2.2466	2.964011505	4037.438735	3.812400857
40.75	-127.4	225	0.14659698	5.3775	0.382879851	2525.654472	29.51317491
40.74	-127.55	1656	0.22720698	39.5784	0.476662333	2539.761222	23.70650922
40.74	-127.57	576	0.22720698	13.7664	0.476662333	2539.761222	23.70650922
40.75	-127.4	240	0.14659698	5.736	0.382879851	2525.654472	29.51317491
40.75	-127.42	316	0.14659698	7.5524	0.382879851	2525.654472	29.51317491
40.75	-127.43	371	0.14659698	8.8669	0.382879851	2525.654472	29.51317491
40.74	-127.58	832	0.22720698	19.8848	0.476662333	2539.761222	23.70650922
40.75	-127.6	907	0.22720698	21.6773	0.476662333	2539.761222	23.70650922
40.75	-127.62	341	0.22720698	8.1499	0.476662333	2539.761222	23.70650922
40.76	-127.66	329	0.53983307	7.8631	0.734733333	2594.470787	15.37972962
40.75	-127.66	386	0.52487373	9.2254	0.724481697	2591.852903	15.59735745
40.76	-127.67	302	0.53983307	7.2178	0.734733333	2594.470787	15.37972962
40.76	-127.69	313	0.53983307	7.4807	0.734733333	2594.470787	15.37972962
40.98	-127.54	352	0.021391379	8.4128	0.146257919	2503.743491	77.26077359
41	-127.54	302	0.021391379	7.2178	0.146257919	2503.743491	77.26077359
41	-127.53	472	0.021391379	11.2808	0.146257919	2503.743491	77.26077359
41	-127.52	192	0.021391379	4.5888	0.146257919	2503.743491	77.26077359
41.01	-127.51	1586	0.021391379	37.9054	0.146257919	2503.743491	77.26077359
41.02	-127.47	463	0.021391379	11.0657	0.146257919	2503.743491	77.26077359
41	-127.47	235	0.021391379	5.6165	0.146257919	2503.743491	77.26077359
41.01	-127.47	274	0.021391379	6.5486	0.146257919	2503.743491	77.26077359
41.01	-127.47	1804	0.021391379	43.1156	0.146257919	2503.743491	77.26077359
41.02	-127.47	280	0.021391379	6.692	0.146257919	2503.743491	77.26077359
40.94	-127.51	176	0.047450688	4.2064	0.217831788	2508.30387	51.87488974
40.93	-127.52	299	0.047450688	7.1461	0.217831788	2508.30387	51.87488974
40.91	-127.52	219	0.047450688	5.2341	0.217831788	2508.30387	51.87488974
40.91	-127.49	511	0.047450688	12.2129	0.217831788	2508.30387	51.87488974
40.91	-127.48	213	0.047450688	5.0907	0.217831788	2508.30387	51.87488974
50.15	-123.38	58	8.4487114	1.3862	2.906666716	3978.524495	3.887614612
50.12	-123.45	71	8.4487114	1.6969	2.906666716	3978.524495	3.887614612
50.2	-123.53	63	8.1750021	1.5057	2.859196058	3930.625368	3.952159897
50.18	-123.52	56	8.1750021	1.3384	2.859196058	3930.625368	3.952159897
50.17	-123.52	39	8.1750021	0.9321	2.859196058	3930.625368	3.952159897
50.45	-123.12	53	8.4487114	1.2667	2.906666716	3978.524495	3.887614612
50.45	-123.17	56	8.1750021	1.3384	2.859196058	3930.625368	3.952159897
50.45	-123.2	69	8.1750021	1.6491	2.859196058	3930.625368	3.952159897
51.97	-121.17	63	8.9942894	1.5057	2.999048082	4074.000645	3.767862232
51.83	-121.15	63	8.9942894	1.5057	2.999048082	4074.000645	3.767862232
52	-120.95	58	8.9942894	1.3862	2.999048082	4074.000645	3.767862232
52	-120.82	61	8.9942894	1.4579	2.999048082	4074.000645	3.767862232
51.78	-120.37	113	8.9942894	2.7007	2.999048082	4074.000645	3.767862232
51.82	-120.47	100	8.9942894	2.39	2.999048082	4074.000645	3.767862232
51.73	-120.15	92	8.9942894	2.1988	2.999048082	4074.000645	3.767862232
51.75	-120.07	107	8.9942894	2.5573	2.999048082	4074.000645	3.767862232
51.15	-119.82	56	8.9942894	1.3384	2.999048082	4074.000645	3.767862232
51.15	-119.8	67	8.9942894	1.6013	2.999048082	4074.000645	3.767862232
51.15	-119.82	83	8.9942894	1.9837	2.999048082	4074.000645	3.767862232
53.37	-130.15	75	2.2681541	1.7925	1.506039209	2896.926968	7.503124706
53.35	-130.13	75	2.2681541	1.7925	1.506039209	2896.926968	7.503124706
53.35	-130.13	75	2.2681541	1.7925	1.506039209	2896.926968	7.503124706
53.36	-130.13	117	2.2681541	2.7963	1.506039209	2896.926968	7.503124706
53.37	-130.16	71	2.2681541	1.6969	1.506039209	2896.926968	7.503124706
53.37	-130.16	64	2.2681541	1.5296	1.506039209	2896.926968	7.503124706
53.37	-130.12	76	2.2681541	1.8164	1.506039209	2896.926968	7.503124706
53.37	-130.16	51	2.2681541	1.2189	1.506039209	2896.926968	7.503124706
53.37	-130.16	87	2.2681541	2.0793	1.506039209	2896.926968	7.503124706
53.37	-130.16	88	2.2681541	2.1032	1.506039209	2896.926968	7.503124706
53.37	-130.16	81	2.2681541	1.9359	1.506039209	2896.926968	7.503124706
51.38	-120.07	70	8.9942894	1.673	2.999048082	4074.000645	3.767862232
51.38	-120.07	72	8.9942894	1.7208	2.999048082	4074.000645	3.767862232
51.38	-120.07	71	8.9942894	1.6969	2.999048082	4074.000645	3.767862232
53.53	-132.22	66	9.16572	1.5774	3.027494013	4104.001	3.732459899
53.53	-132.22	46	9.16572	1.0994	3.027494013	4104.001	3.732459899
53.53	-132.22	69	9.16572	1.6491	3.027494013	4104.001	3.732459899
