lat,lon,age,ihfc q,ps q
43.78,-120.62,9.5827484,1.9837,3.6503407
43.62,-120.47,9.5827484,1.9837,3.6503407
43.62,-120.47,9.5827484,2.0793,3.6503407
43.62,-120.47,9.5827484,1.7925,3.6503407
43.62,-120.47,9.5827484,1.9837,3.6503407
43.62,-120.47,9.5827484,1.9837,3.6503407
43.73,-121.36,9.5827484,2.39,3.6503407
43.73,-121.36,9.5827484,2.39,3.6503407
43.75,-120.94,9.5827484,1.3862,3.6503407
43.75,-120.94,9.5827484,2.2944,3.6503407
43.81,-120.99,9.5827484,2.2944,3.6503407
44.17,-122.29,9.8749847,1.5057,3.59592171
44.45,-122.8,9.8749847,0.717,3.59592171
44.61,-122.77,9.8749847,1.1711,3.59592171
44.54,-123.29,9.8749847,0.7887,3.59592171
44.83,-122.25,9.8749847,1.2189,3.59592171
44.95,-122.17,9.831625,2.3183,3.603842403
44.95,-122.17,9.831625,2.3183,3.603842403
45.04,-121,9.831625,1.6969,3.603842403
43.8,-122.42,9.5827484,1.0755,3.6503407
43.8,-122.42,9.5827484,0.9321,3.6503407
44.86,-122.88,9.8163719,0.9321,3.606641218
44.06,-122.79,9.8100004,0.956,3.607812267
44.15,-122.25,9.8749847,1.6252,3.59592171
44.15,-122.25,9.8749847,1.6252,3.59592171
44.8,-124.06,9.8749847,0.7648,3.59592171
44.8,-124.07,9.8749847,0.6931,3.59592171
44.04,-122.84,9.8100004,1.0516,3.607812267
43.93,-122.91,9.5827484,0.8604,3.6503407
44.8,-122.41,9.8749847,0.7409,3.59592171
44.81,-122.41,9.8749847,0.7648,3.59592171
44.39,-121.99,9.8749847,0.7887,3.59592171
44.39,-121.99,9.8749847,3.5372,3.59592171
44.54,-121.96,9.8749847,2.2466,3.59592171
43.76,-122.43,9.5827484,0.9799,3.6503407
44.22,-120.99,9.8749847,4.2064,3.59592171
44.73,-122.18,9.8749847,1.195,3.59592171
44.77,-122.56,9.8749847,1.4101,3.59592171
44.89,-122.71,9.8163719,1.1233,3.606641218
44.89,-122.71,9.8163719,1.1233,3.606641218
44.61,-123.3,9.8749847,1.1472,3.59592171
44.59,-120.92,9.8749847,2.0076,3.59592171
44.04,-122.93,9.8100004,1.0038,3.607812267
43.95,-122.9,9.5827484,1.0277,3.6503407
43.91,-121.36,9.8749847,0.5975,3.59592171
44.49,-122.85,9.8749847,1.0755,3.59592171
44.24,-120.97,9.8749847,2.4617,3.59592171
44.24,-120.97,9.8749847,2.4617,3.59592171
44.19,-121.05,9.8749847,4.9473,3.59592171
45.08,-120.96,9.68153,1.673,3.631670562
