long,lat,z
-127.1919271,47.34140625,-2550.333252
-126.9252604,47.34140625,-2490.023193
-126.6585937,47.34140625,-2414.299072
-126.3919271,47.34140625,-2304.255615
-126.1252604,47.34140625,-1672.879395
-125.8585937,47.34140625,-1500.579712
-125.5919271,47.34140625,-1335.966553
-125.3252604,47.34140625,-949.2271729
-125.0585937,47.34140625,-659.0881348
-124.7919271,47.34140625,-89.06468201
-124.5252604,47.34140625,-2.182764053
-130.3919271,47.60807292,-2864.131836
-130.1252604,47.60807292,-2827.780518
-129.8585937,47.60807292,-2677.848389
-129.5919271,47.60807292,-2599.035645
-129.3252604,47.60807292,-2603.603516
-129.0585937,47.60807292,-2577.613037
-128.7919271,47.60807292,-2664.657959
-128.5252604,47.60807292,-2668.308105
-128.2585937,47.60807292,-2650.546875
-127.9919271,47.60807292,-2654.368408
-127.7252604,47.60807292,-2651.839111
-127.4585937,47.60807292,-2608.625244
-127.1919271,47.60807292,-2541.223145
-126.9252604,47.60807292,-2377.744141
-126.6585937,47.60807292,-2271.939697
-126.3919271,47.60807292,-1938.457886
-126.1252604,47.60807292,-1570.182861
-125.8585937,47.60807292,-1295.681396
-125.5919271,47.60807292,-1008.190796
-125.3252604,47.60807292,-603.9396362
-125.0585937,47.60807292,-122.2574081
-124.7919271,47.60807292,-49.10531998
-124.5252604,47.60807292,89.74623108
-130.3919271,47.87473958,-2597.647705
-130.1252604,47.87473958,-2585.218262
-129.8585937,47.87473958,-2650.257324
-129.5919271,47.87473958,-2556.735107
-129.3252604,47.87473958,-2413.50415
-129.0585937,47.87473958,-2438.469238
-128.7919271,47.87473958,-2592.296387
-128.5252604,47.87473958,-2616.100342
-128.2585937,47.87473958,-2622.967529
-127.9919271,47.87473958,-2620.833008
-127.7252604,47.87473958,-2654.031494
-127.4585937,47.87473958,-2623.399658
-127.1919271,47.87473958,-2557.141602
-126.9252604,47.87473958,-2434.336426
-126.6585937,47.87473958,-2236.514893
-126.3919271,47.87473958,-1770.395142
-126.1252604,47.87473958,-1494.806152
-125.8585937,47.87473958,-817.3471069
-125.5919271,47.87473958,-358.7436829
-125.3252604,47.87473958,-214.811676
-125.0585937,47.87473958,-98.9912262
-124.7919271,47.87473958,19.33139801
-124.5252604,47.87473958,176.3486023
-130.3919271,48.14140625,-2820.84082
-130.1252604,48.14140625,-2657.68042
-129.8585937,48.14140625,-2561.114258
-129.5919271,48.14140625,-2565.601074
-129.3252604,48.14140625,-2374.762451
-129.0585937,48.14140625,-2480.973633
-128.7919271,48.14140625,-2524.177246
-128.5252604,48.14140625,-2563.646484
-128.2585937,48.14140625,-2609.794922
-127.9919271,48.14140625,-2592.250732
-127.7252604,48.14140625,-2621.197754
-127.4585937,48.14140625,-2622.619873
-127.1919271,48.14140625,-2603.729004
-126.9252604,48.14140625,-2543.463135
-126.6585937,48.14140625,-2074.732666
-126.3919271,48.14140625,-1350.041992
-126.1252604,48.14140625,-759.3971558
-125.8585937,48.14140625,-325.2497864
-125.5919271,48.14140625,-130.9806671
-125.3252604,48.14140625,-161.5077515
-125.0585937,48.14140625,-162.3003235
-124.7919271,48.14140625,59.8457756
-124.5252604,48.14140625,93.48809814
-130.3919271,48.40807292,-2795.558594
-130.1252604,48.40807292,-2670.935547
-129.8585937,48.40807292,-2567.26123
-129.5919271,48.40807292,-2417.11377
-129.3252604,48.40807292,-2624.010742
-129.0585937,48.40807292,-2638.477295
-128.7919271,48.40807292,-2456.546631
-128.5252604,48.40807292,-2515.430176
-128.2585937,48.40807292,-2561.729492
-127.9919271,48.40807292,-2573.697754
-127.7252604,48.40807292,-2590.742188
-127.4585937,48.40807292,-2580.411621
-127.1919271,48.40807292,-2435.331787
-126.9252604,48.40807292,-1904.016113
-126.6585937,48.40807292,-1349.318237
-126.3919271,48.40807292,-688.4596558
-126.1252604,48.40807292,-148.9689941
-125.8585937,48.40807292,-94.18223572
-125.5919271,48.40807292,-121.1534348
-125.3252604,48.40807292,-128.6194458
-125.0585937,48.40807292,-121.9611435
-124.7919271,48.40807292,-34.80430603
-124.5252604,48.40807292,115.6693649
