lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z
48.07,-126.78,5.4567189,135,202.5325674,218.3254606,-23.55309105,3317.586733,3452.626164
48.56,-127.08,4.5077429,109,222.8338121,240.2097366,-50.09257126,3243.100602,3374.947771
48.55,-127.09,4.3637662,108,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.55,-127.09,4.3637662,112,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.55,-127.1,4.3637662,118,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.55,-127.1,4.3637662,118,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.68,-126.84,5.752306,89,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.86,5.5437579,96,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,88,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.66,-126.87,5.5437579,92,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.66,-126.88,5.5437579,97,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.66,-126.89,5.5437579,96,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.65,-126.89,5.0980859,107,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.65,-126.9,5.0980859,107,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.64,-126.91,5.0980859,96,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.64,-126.92,5.0980859,103,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.64,-126.92,5.0980859,93,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.63,-126.93,5.0980859,84,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.63,-126.94,5.0980859,84,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.63,-126.95,4.8090472,109,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206
48.62,-126.96,4.8090472,102,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206
48.62,-126.96,4.8090472,110,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206
48.61,-126.97,4.8090472,109,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206
48.61,-126.98,4.8090472,110,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206
48.76,-126.67,6.336699,82,187.9442831,202.5996249,-26.99560928,3381.048028,3518.807229
48.74,-126.7,5.9347811,81,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325
48.74,-126.72,5.9347811,75,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325
48.73,-126.73,5.9347811,67,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325
48.72,-126.75,5.752306,82,197.2602906,212.6420673,-26.99560928,3339.438792,3475.41474
48.71,-126.76,5.752306,72,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.71,-126.78,5.752306,92,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.26,-126.37,6.2660885,95,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706
48.26,-126.38,6.2660885,92,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706
48.26,-126.39,6.2660885,95,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706
48.25,-126.39,6.2521348,103,189.2110485,203.965169,-23.99115753,3375.149423,3512.655827
48.25,-126.4,6.2521348,94,189.2110485,203.965169,-23.99115753,3375.149423,3512.655827
48.25,-126.41,6.2521348,105,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.24,-126.41,6.2521348,106,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.24,-126.42,6.2521348,100,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.24,-126.42,6.2521348,95,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.24,-126.43,6.2521348,97,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.23,-126.44,6.2521348,99,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.23,-126.44,6.2521348,103,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.23,-126.45,6.2521348,109,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.23,-126.45,6.2521348,127,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827
48.22,-126.46,5.9770608,101,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.22,-126.47,5.9770608,91,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.22,-126.47,5.9770608,94,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.21,-126.48,5.9770608,100,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.21,-126.48,5.9770608,93,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.21,-126.49,5.9770608,89,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.21,-126.5,5.9770608,66,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.2,-126.5,5.9770608,129,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.2,-126.51,5.9770608,46,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.2,-126.51,5.9770608,69,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.2,-126.52,5.9770608,67,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027
48.19,-126.53,5.9770608,94,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027
48.19,-126.53,5.9770608,115,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027
48.19,-126.54,5.9770608,121,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027
48.18,-126.54,5.9770608,97,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027
48.18,-126.55,5.7203693,120,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.18,-126.56,5.7203693,110,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.18,-126.56,5.7203693,114,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.17,-126.57,5.7203693,112,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.17,-126.57,5.7203693,111,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.17,-126.58,5.7203693,114,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.17,-126.59,5.7203693,130,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214
48.42,-126.97,4.6329985,147,219.8009571,236.9403885,-46.6350174,3253.354044,3385.640646
48.43,-126.98,4.6329985,147,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646
48.43,-126.98,4.6329985,142,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646
48.44,-126.99,4.6329985,145,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646
48.44,-127,4.6329985,145,219.8009571,236.9403885,-51.45562744,3253.354044,3385.640646
48.45,-127,4.6428313,139,219.5680815,236.689354,-51.45562744,3254.153058,3386.473903
48.45,-127.01,4.6428313,117,219.5680815,236.689354,-51.45562744,3254.153058,3386.473903
48.36,-126.22,6.6210885,89,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869
48.56,-127.08,4.5077429,109,222.8338121,240.2097366,-50.09257126,3243.100602,3374.947771
48.56,-127.08,4.5077429,108,222.8338121,240.2097366,-50.09257126,3243.100602,3374.947771
48.55,-127.09,4.3637662,112,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.55,-127.1,4.3637662,118,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476
48.68,-126.84,5.752306,89,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,96,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.86,5.5437579,88,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,92,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.66,-126.87,5.5437579,97,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.66,-126.88,5.5437579,96,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.65,-126.89,5.0980859,107,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
