lat,lon,q,age
45.38,-122.02,77.0,9.5483627
45.72,-119.02,66.0,9.5560369
45.68,-121.31,41.0,9.5560369
42.49,-122.95,33.0,8.7200031
42.5,-122.98,33.0,8.7200031
45.39,-122.36,41.0,9.5483627
42.86,-123.38,33.0,8.5052891
44.87,-122.71,43.0,9.8163719
45.77,-119.12,71.0,9.544672
45.43,-121.29,65.0,9.5483627
45.54,-122.76,35.0,9.5407829
45.35,-121.13,54.0,9.5483627
45.35,-121.13,54.0,9.5483627
45.32,-121.1,41.0,9.5414743
45.69,-121.38,47.0,9.5560369
42.39,-122.98,39.0,8.7200031
45.36,-120.15,54.0,9.5483627
44.05,-122.88,31.0,9.8100004
43.8,-122.42,40.0,9.5827484
44.78,-121.98,763.0,9.8749847
44.78,-121.97,430.0,9.8749847
44.78,-121.97,1393.0,9.8749847
44.78,-121.97,404.0,9.8749847
43.92,-120.82,75.0,9.8749847
43.69,-120.48,75.0,9.5827484
43.69,-120.48,83.0,9.5827484
43.69,-120.48,96.0,9.5827484
43.63,-120.46,79.0,9.5827484
43.62,-120.47,79.0,9.5827484
43.63,-120.46,66.0,9.5827484
43.63,-120.46,96.0,9.5827484
43.63,-120.46,75.0,9.5827484
43.78,-120.62,79.0,9.5827484
43.78,-120.62,83.0,9.5827484
43.62,-120.47,83.0,9.5827484
43.62,-120.47,87.0,9.5827484
43.62,-120.47,75.0,9.5827484
43.62,-120.47,83.0,9.5827484
43.62,-120.47,83.0,9.5827484
43.73,-121.36,100.0,9.5827484
43.73,-121.36,100.0,9.5827484
43.75,-120.94,58.0,9.5827484
43.75,-120.94,96.0,9.5827484
43.81,-120.99,96.0,9.5827484
44.17,-122.29,63.0,9.8749847
44.45,-122.8,30.0,9.8749847
44.61,-122.77,49.0,9.8749847
44.54,-123.29,33.0,9.8749847
44.83,-122.25,51.0,9.8749847
44.95,-122.17,97.0,9.831625
44.95,-122.17,97.0,9.831625
45.04,-121.0,71.0,9.831625
43.8,-122.42,45.0,9.5827484
43.8,-122.42,39.0,9.5827484
44.86,-122.88,39.0,9.8163719
44.06,-122.79,40.0,9.8100004
44.15,-122.25,68.0,9.8749847
44.15,-122.25,68.0,9.8749847
44.8,-124.06,32.0,9.8749847
44.8,-124.07,29.0,9.8749847
44.04,-122.84,44.0,9.8100004
43.93,-122.91,36.0,9.5827484
44.8,-122.41,31.0,9.8749847
44.81,-122.41,32.0,9.8749847
44.39,-121.99,33.0,9.8749847
44.39,-121.99,148.0,9.8749847
44.54,-121.96,94.0,9.8749847
43.76,-122.43,41.0,9.5827484
44.22,-120.99,176.0,9.8749847
44.73,-122.18,50.0,9.8749847
44.77,-122.56,59.0,9.8749847
44.89,-122.71,47.0,9.8163719
44.89,-122.71,47.0,9.8163719
44.61,-123.3,48.0,9.8749847
44.59,-120.92,84.0,9.8749847
44.04,-122.93,42.0,9.8100004
43.95,-122.9,43.0,9.5827484
43.91,-121.36,25.0,9.8749847
44.49,-122.85,45.0,9.8749847
