long,lat,bathy,age,FA,q_ihfc,q_ps,q_stein,ps_z,stein_z
-128.33125,38.02708333333333,-4643.0,34.42457850169164,-18.36548679879307,56.53673958743954,80.6355111459465,86.9232308799267,4553.536185816365,435143.8358319826
-127.49791666666668,38.02708333333333,-4681.0,32.54301584284826,-24.160891403502525,35.353731046708916,82.93383725588747,89.40077369267297,4496.6270159318465,389152.47625397367
-126.66458333333333,38.02708333333333,-4443.0,29.445004776879358,-24.437140471736377,74.33261049153207,87.18762436274302,93.98625859316583,4399.213807123285,319058.0318033136
-125.83125,38.02708333333333,-4235.0,26.593382526417592,-22.858576397903107,71.31274176809126,91.74319671070519,98.89706105928292,4304.907022393718,260730.91788167597
-124.99791666666668,38.02708333333333,-3994.0,23.892416240548663,-20.578834369701617,70.65273502459038,96.79002964811143,104.33743116912916,4210.795425954609,210959.3571412462
-124.16458333333333,38.02708333333333,-3696.0,21.085899173402925,-49.549295036980624,79.05984848484849,103.03021265666253,111.06420527493886,4107.178474452,164884.52754208367
-123.33125,38.02708333333333,-120.0,18.688135045221166,3.1665725439665486,79.12860546297703,109.44040135808599,117.97424161698218,4013.042148467647,130074.93288597457
-122.49791666666668,38.02708333333333,-11.0,17.04453416973685,11.086621467988822,88.32916666666452,114.59563904196074,123.53146955623694,3944.9759291395703,108638.39294811437
-121.66458333333333,38.02708333333333,-3.0,16.43631554809092,-52.72109989416663,39.09957605076961,116.69665935895398,125.79632125125346,3918.960413345326,101205.6511106916
-132.83125,38.03125,-4974.0,33.939312,-25.153793380916625,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.99791666666667,38.03125,-4899.0,33.939312,-18.766226073580363,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.16458333333333,38.03125,-4913.0,30.501097,-22.343077754010253,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-130.33125,38.03125,-4745.0,30.501097,-15.143199989649414,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.49791666666667,38.03125,-4715.0,35.199921,-17.576052484523366,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.66458333333333,38.03125,-4736.0,35.01068409499406,-30.91428915118531,66.52455875268208,79.95771243283073,86.19257941888935,4570.943939761955,449998.0202918066
-127.83125,38.03125,-4627.0,33.54220335987386,-21.494912730027504,41.292438575745564,81.68924179698439,88.0591283445021,4527.0470916050635,413253.98327582364
-126.99791666666668,38.03125,-4492.0,30.68446212179494,-21.927424464539307,59.68265588577982,85.4085603772887,92.0684684364455,4438.774512396911,346260.718731912
-126.16458333333333,38.03125,-4362.0,27.682451704209488,-21.015757776054595,70.6968031575306,89.92043175978664,96.93216226448565,4341.494049342995,282306.1183099001
-125.33125,38.03125,-4079.0,24.966549280742488,-16.66273027252457,71.06918055408129,94.68504686217578,102.06830802350929,4248.8288329310435,230114.93279052625
-124.49791666666668,38.03125,-3893.0,22.233606252544064,-38.1434805214076,75.64591432273778,100.33575058586067,108.1596369854962,4150.338379223075,183031.63515250577
-123.66458333333333,38.03125,-2049.0,19.604032940165858,-66.87070508336637,80.33267721551238,106.85330196005718,115.18540782541412,4049.6754612402938,142876.10924447444
-122.83125,38.03125,252.0,17.32990882887817,19.141174686084547,80.6321209465381,113.64818911505495,122.51014027372588,3957.022248127178,112218.8951062888
-121.99791666666668,38.03125,97.0,16.718419892388805,-20.205592820941902,57.53099364529328,115.70790882089804,124.7304708575413,3931.085754529626,104619.53074985092
-121.16458333333333,38.03125,21.0,16.213908882757305,-30.52913237351996,38.26705811215071,117.49429911869404,126.65615861086795,3909.3274417741854,98555.15705930004
-132.33125,38.03541666666667,-4928.0,33.939312,-20.194189427410898,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.49791666666667,38.03541666666667,-4827.0,33.939312,-18.610803102903002,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.66458333333333,38.03541666666667,-4833.0,30.501097,-20.13996667477582,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.83125,38.03541666666667,-4624.0,30.501097,-14.088327297389597,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-128.99791666666667,38.03541666666667,-4766.0,34.299079639527164,-24.174055018026273,54.23866247430185,80.78289738847388,87.0821098676787,4549.7895637948,431995.80540329876
-128.16458333333333,38.03541666666667,-4625.0,34.1283089531763,-16.023517601934653,51.28025774098853,80.9847552750394,87.29970803788326,4544.680377654194,427730.6372812606
-127.33125,38.03541666666667,-4586.0,31.925862196785577,-24.65027678374792,51.49857086084623,83.73159065435665,90.26073355223006,4477.604136096563,374630.14710797195
-126.49791666666668,38.03541666666667,-4423.0,28.77152088200149,-24.664292974192012,70.08086454696986,88.2021657670588,95.0799109489495,4377.368186596647,304747.15106015845
-125.66458333333333,38.03541666666667,-4186.0,26.040682320936362,-19.77653319427496,71.48562608357219,92.71168605728752,99.9410703534679,4286.052514433633,250112.75454507355
-124.83125,38.03541666666667,-3953.0,23.311096423384004,-24.681053152291497,70.2261033615367,97.98944741511153,105.63037600200478,4189.854819759538,200943.63400801187
-123.99791666666668,38.03541666666667,-3560.0,20.509473804852625,-66.28762943624807,77.99924242424245,104.46802874851664,112.61413803209473,4085.0585292330525,156133.05824945666
-123.16458333333333,38.03541666666667,-92.0,18.221613865200037,-9.488444833139582,79.09771882981192,110.83252802579945,119.47492222323197,3994.037381890763,123789.93232614434
-122.33125,38.03541666666667,-6.0,16.96142147675439,-12.414267545470523,105.63472222222353,114.87606108980667,123.83375808969232,3941.4486223596086,107606.78375691833
-121.49791666666668,38.03541666666667,-2.0,16.328235225982812,-37.68458234394612,36.65780029075056,117.08224327873025,126.2119718697711,3914.2873877620823,99913.11194218449
-132.66458333333333,38.03958333333333,-4943.0,33.939312,-24.733563303009404,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.83125,38.03958333333333,-4703.0,33.939312,-16.767736604003996,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.99791666666667,38.03958333333333,-4911.0,30.501097,-21.775656651430264,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-130.16458333333333,38.03958333333333,-4669.0,30.501097,-10.722021586006536,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.33125,38.03958333333333,-4838.0,35.199921,-23.505595102212666,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.49791666666667,38.03958333333333,-4779.0,34.71441454647878,-28.985193707988568,61.26807690623212,80.29818636559068,86.5596025064261,4562.162889284853,442458.0607162437
-127.66458333333333,38.03958333333333,-4687.0,33.18382364825044,-24.66515355658081,35.45779619398381,82.1291722259826,88.53336325301161,4516.189077668729,404525.64545013756
-126.83125,38.03958333333333,-4495.0,30.073887449067946,-26.53092874696292,69.70231542639101,86.27120695240379,92.99838165149029,4419.3882391300685,332720.1277992104
-125.99791666666668,38.03958333333333,-4267.0,27.125732581100472,-21.969878034201017,71.14747460452239,90.83849306106494,97.92181128287537,4322.882947746456,271168.9593424021
-125.16458333333333,38.03958333333333,-4008.0,24.416329823501552,-18.366049034807858,71.07059583200649,95.74596210613593,103.21195031440853,4229.450896492566,220197.36414825416
-124.33125,38.03958333333333,-3800.0,21.672917374009053,-43.18827937909594,78.14572375943297,101.62533058055503,109.5497746311058,4129.396323279302,174046.10183772756
-123.49791666666668,38.03958333333333,-121.0,19.13205740304112,-5.035044793381498,79.92524715894618,108.16327322265235,116.5975267899549,4030.907257763362,136203.00147274008
-122.66458333333333,38.03958333333333,232.0,17.1388121132204,41.039141033604004,76.94996105919013,114.28001799196385,123.19123730608366,3948.966695224393,109814.69143807866
-121.83125,38.03958333333333,1.0,16.587396876638575,-38.30609009167764,44.90039794007477,116.16399542455274,125.2221217516364,3925.4669822160827,103026.73332723849
-132.99791666666667,38.04375,-5049.0,33.939312,-22.775376664330285,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-132.16458333333333,38.04375,-4844.0,33.939312,-21.481625111470713,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.33125,38.04375,-4916.0,33.939312,-20.549290859936605,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.49791666666667,38.04375,-4800.0,30.501097,-18.465872545085737,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.66458333333333,38.04375,-4706.0,35.199921,-15.500531864255322,70.0,79.74249403636595,85.96057892556259,4576.533246182204,454847.570018278
-128.83125,38.04375,-4699.0,35.12121788810618,-24.331955813990078,68.17837707098799,79.83179148646636,86.05683952789221,4574.210498308455,452827.4802694978
-127.99791666666668,38.04375,-4580.0,33.832039404661046,-19.72610753568694,46.023775894539,81.33857695200646,87.68111968741897,4535.786046486953,420381.5149516663
-127.16458333333333,38.04375,-4512.0,31.33183596432241,-21.60712914652376,75.05652375077234,84.52160529679432,91.1123512103465,4459.119676188643,360914.6398867506
-126.33125,38.04375,-4397.0,28.21480175889233,-23.103685383264867,70.53153599396174,89.06809370983942,96.01336140304865,4359.116245817972,293167.3889771617
-125.49791666666668,38.04375,-4083.0,25.490462863695523,-16.891059584100756,71.48704136149742,93.70694905301515,101.01394102712554,4267.082822281599,239763.74940698582
-124.66458333333333,38.04375,-3931.0,22.750407544849036,-36.60843757373783,72.72591279823166,99.18958392908834,106.92409562763005,4169.4085552206825,191517.08086170425
-123.83125,38.04375,-3372.0,20.005304909166924,-82.43846118596993,79.01214558776685,105.7762269108361,114.02434563522104,4065.4551578927285,148677.46194568946
-122.99791666666668,38.04375,-19.0,17.757608460819633,11.326868433127782,79.2405096354771,112.27121458392567,121.02579332305679,3974.892211807495,117696.42026043714
-122.16458333333333,38.04375,-2.0,16.85682264845782,-4.24941996870484,76.0241468475149,115.23192052967177,124.21736640087683,3936.9971379359404,106315.65147756957
-121.33125,38.04375,7.0,16.253007227210702,-28.58217206957811,36.64693640829686,117.352891483149,126.5037244242672,3911.0256501330196,99018.48903363361
-132.49791666666667,38.047916666666666,-4803.0,33.939312,-22.39610865662274,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-131.66458333333333,38.047916666666666,-4817.0,33.939312,-19.063311434317413,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
-130.83125,38.047916666666666,-4948.0,30.501097,-22.730289966628945,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.99791666666667,38.047916666666666,-4634.0,30.501097,-11.68283023667192,24.0,85.66490335589903,92.3448002857453,4432.972938894904,342165.6751442443
-129.16458333333333,38.047916666666666,-4810.0,33.650548768150124,-26.03406874476468,42.86400008062256,81.55762745142586,87.91725109980543,4530.318256849992,415911.1928251421
-128.33125,38.047916666666666,-4702.0,34.41814499796349,-19.93820675003116,56.011595059782145,80.64304706372425,86.9313544263838,4553.344287315336,434982.1773618062
-127.49791666666668,38.047916666666666,-4675.0,32.53128730515568,-24.655145369622005,34.607063157249314,82.94878601846577,89.41688811574163,4496.267190253241,388873.89861166285
-126.66458333333333,38.047916666666666,-4435.0,29.440984820766186,-24.788455009387896,75.43752581577839,87.19357658313,93.99267495017273,4399.084158362619,318971.6293340535
-125.83125,38.047916666666666,-4219.0,26.569013457991314,-22.097289251563854,71.59814605151426,91.78526044469152,98.942404799392,4304.079862036029,260258.0537877871
-124.99791666666668,38.047916666666666,-3952.0,23.85576414708727,-20.033059512060575,70.84760345840687,96.8643554088866,104.41755263388298,4209.4827018774395,210320.58131013086
-124.16458333333333,38.047916666666666,-3712.0,21.04031047306268,-51.958719089396,78.66159876173356,103.14177165570582,111.1844633162505,4105.440136831698,164183.55265304793
-123.33125,38.047916666666666,-130.0,18.66008186591627,0.8529132288086965,79.51781710237982,109.5226356749216,118.06288832371187,4011.906091189113,129692.50916358446
-122.49791666666668,38.047916666666666,-1.0,17.057461033771936,9.264530163411608,92.1486111111094,114.55220810554866,123.48465200328256,3945.5237724219764,108799.29657530651
-121.66458333333333,38.047916666666666,-5.0,16.449921774682682,-53.65559171420465,38.73674833541375,116.64838771131592,125.7442855226648,3919.5476101204313,101368.97313351049
-132.83125,38.052083333333336,-4957.0,33.939312,-25.43974616730582,19.0,81.20993106488804,87.54244237281117,4539.010966130393,423035.06814717053
