lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
48.08,-126.75,5.4567189,136.0,202.5325674,218.3254606,-42.68918228,3317.586733,3452.626164,-2492.0
48.08,-126.76,5.4567189,121.0,202.5325674,218.3254606,-35.76579285,3317.586733,3452.626164,-2496.0
48.07,-126.77,5.4567189,78.0,202.5325674,218.3254606,-23.55309105,3317.586733,3452.626164,-2480.0
48.07,-126.78,5.4567189,135.0,202.5325674,218.3254606,-23.55309105,3317.586733,3452.626164,-2482.0
48.56,-127.08,4.5077429,109.0,222.8338121,240.2097366,-50.09257126,3243.100602,3374.947771,-2550.0
48.55,-127.09,4.3637662,108.0,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476,-2561.0
48.55,-127.1,4.3637662,118.0,226.4800342,244.1402804,-50.09257126,3231.137032,3362.471476,-2562.0
48.66,-126.88,5.5437579,97.0,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294,-1341.0
48.65,-126.89,5.0980859,107.0,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357,-1333.0
48.64,-126.91,5.0980859,96.0,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357,-1303.0
48.64,-126.92,5.0980859,103.0,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357,-1343.0
48.63,-126.93,5.0980859,84.0,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357,-1581.0
48.63,-126.94,5.0980859,84.0,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357,-1825.0
48.63,-126.95,4.8090472,109.0,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206,-1992.0
48.62,-126.96,4.8090472,102.0,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206,-2139.0
48.61,-126.97,4.8090472,109.0,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206,-2217.0
48.61,-126.98,4.8090472,110.0,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206,-2220.0
48.76,-126.67,6.336699,82.0,187.9442831,202.5996249,-26.99560928,3381.048028,3518.807229,-1042.0
48.74,-126.7,5.9347811,81.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1229.0
48.74,-126.72,5.9347811,75.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1232.0
48.73,-126.73,5.9347811,67.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1288.0
48.72,-126.75,5.752306,82.0,197.2602906,212.6420673,-26.99560928,3339.438792,3475.41474,-1334.0
48.71,-126.76,5.752306,72.0,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474,-1324.0
48.71,-126.78,5.752306,92.0,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474,-1285.0
48.26,-126.37,6.2660885,95.0,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706,-2067.0
48.26,-126.38,6.2660885,92.0,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706,-2074.0
48.26,-126.39,6.2660885,95.0,189.0002579,203.7379415,-23.99115753,3376.125471,3513.673706,-2093.0
48.25,-126.39,6.2521348,103.0,189.2110485,203.965169,-23.99115753,3375.149423,3512.655827,-2097.0
48.25,-126.4,6.2521348,94.0,189.2110485,203.965169,-23.99115753,3375.149423,3512.655827,-2095.0
48.25,-126.41,6.2521348,105.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2094.0
48.24,-126.41,6.2521348,106.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2100.0
48.24,-126.42,6.2521348,100.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2097.0
48.24,-126.43,6.2521348,97.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2096.0
48.23,-126.44,6.2521348,99.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2086.0
48.23,-126.45,6.2521348,109.0,189.2110485,203.965169,-40.74657059,3375.149423,3512.655827,-2063.0
48.22,-126.46,5.9770608,101.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-2029.0
48.22,-126.47,5.9770608,91.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-1986.0
48.21,-126.48,5.9770608,100.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-1901.0
48.21,-126.49,5.9770608,89.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-1939.0
48.21,-126.5,5.9770608,66.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-2218.0
48.2,-126.5,5.9770608,129.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-2237.0
48.2,-126.51,5.9770608,46.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-2323.0
48.2,-126.52,5.9770608,67.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-2351.0
48.19,-126.53,5.9770608,94.0,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027,-2350.0
48.19,-126.54,5.9770608,121.0,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027,-2366.0
48.18,-126.54,5.9770608,97.0,193.5159749,208.6057808,-45.47949982,3355.680985,3492.353027,-2385.0
48.18,-126.55,5.7203693,120.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2416.0
