lat,lon,t,bath
54.02,-130.58,5.7069907,507.0
54.02,-130.58,5.7069907,507.0
54.02,-130.58,5.7069907,507.0
54.02,-130.58,5.7069907,507.0
49.15,-124.65,8.1750021,988.0
49.15,-124.67,7.9011574,782.0
49.15,-124.67,7.9011574,782.0
49.33,-121.97,9.2849312,179.0
49.33,-121.97,9.2849312,179.0
49.33,-121.97,9.2849312,179.0
49.33,-121.97,9.2849312,179.0
49.33,-121.97,9.2849312,179.0
49.33,-121.97,9.2849312,179.0
49.33,-121.95,9.2849312,398.0
49.33,-121.97,9.2849312,179.0
49.3,-121.93,9.2849312,44.0
49.75,-124.53,7.3612161,100.0
49.7,-124.52,7.3612161,115.0
49.75,-124.53,7.3612161,100.0
49.75,-124.53,7.3612161,100.0
49.75,-124.53,7.3612161,100.0
49.75,-124.53,7.3612161,100.0
49.75,-124.53,7.3612161,100.0
49.75,-124.53,7.3612161,100.0
49.7,-124.53,7.3612161,128.0
49.7,-124.53,7.3612161,128.0
49.7,-124.53,7.3612161,128.0
49.7,-124.53,7.3612161,128.0
50.02,-126.78,6.2185445,708.0
50.0,-126.8,6.2185445,1008.0
50.0,-126.8,6.2185445,1008.0
50.0,-126.8,6.2185445,1008.0
50.02,-126.78,6.2185445,708.0
47.51,-121.35,9.7773581,858.0
47.51,-121.35,9.7773581,858.0
47.68,-121.65,9.7773581,1142.0
47.68,-121.65,9.7773581,1142.0
47.49,-121.4,9.7773581,613.0
42.2,-121.83,8.7200031,1275.0
48.46,-122.63,9.2849312,187.0
48.72,-119.59,9.57864,563.0
46.35,-122.11,9.543684,880.0
46.36,-122.07,9.543684,1104.0
49.0,-119.49,9.57864,1725.0
48.61,-120.38,9.57864,1988.0
48.61,-120.39,9.57864,1988.0
46.85,-124.1,9.7773581,12.0
47.24,-124.19,9.8133631,23.0
42.16,-120.34,8.7200031,1571.0
42.19,-120.33,8.7200031,1576.0
42.19,-120.34,8.7200031,1576.0
42.2,-120.35,8.7200031,1582.0
42.22,-120.35,8.7200031,1640.0
42.22,-120.34,8.7200031,1640.0
42.17,-120.34,8.7200031,1564.0
42.22,-120.36,8.7200031,1640.0
